id,name,city,display_address,google_place_id,latitude,longitude,price_point,primary_type,website
97527,Traif,New York City,"229 South 4th Street, Brooklyn",ChIJveB2ceBbwokRlg4WCe7xoqM,40.7105723,-73.9589970,low,restaurant,http://traifny.com
70550,Canje,Austin,null,ChIJiTXrX2G1RIYRwMqfb50ntjE,30.2616642,-97.7214271,medium,restaurant,https://canjeatx.com
40049,Virtue Restaurant,Chicago,"1462 E 53rd St, Chicago, IL 60615",ChIJdQBzqFMpDogRblcUhYQDPu0,41.7996712,-87.5893287,null,southern_restaurant_us,https://www.virtuerestaurant.com/
43717,Dirt Candy,New York City,"86 Allen Street, New York",ChIJBXlte51ZwokRXzXtdaBG9xM,40.7178611,-73.9907054,low,vegetarian_restaurant,http://www.dirtcandynyc.com
97059,"Flagstaff House ",Denver,"1138 Flagstaff Rd, Boulder, CO 80302",ChIJSQiI-hbsa4cRUt4alNdjJjw,40.0073555,-105.2945273,high,fine_dining_restaurant,http://www.flagstaffhouse.com/
41338,Little Shucker,San Francisco Bay Area,"2016 Fillmore St, San Francisco, CA 94115",ChIJwe9MfAyBhYAR1aUHKoeBbTw,37.7882506,-122.4335324,medium,seafood_restaurant,https://www.littleshucker.com/
100159,Class Act,Chicago,"1737 N Damen Ave, Chicago, IL 60647",ChIJEZI_987TD4gRaV2Qr4NNFMs,41.9134230,-87.6772408,high,fine_dining_restaurant,https://classactchicago.com/
76382,Knife Steakhouse,Dallas,"6121 W Park Blvd RS9, Plano, TX 75093",ChIJq6qq9n4jTIYRmeBRD-TNXFk,33.0314336,-96.8311105,high,steak_house,https://knifeplano.com/?utm_source=GMB
22334,Tresca,Boston,"233 Hanover St, Boston, MA 02113",ChIJGwg4zohw44kR2JOE0zpR_Wo,42.3630135,-71.0550161,medium,italian_restaurant,https://trescanorthend.com
101806,The Hollywood Roosevelt,Los Angeles,"7000 Hollywood Blvd, Los Angeles, CA 90028",ChIJazD_QyG_woARwKuHsRqY0nU,34.1011504,-118.3417817,null,hotel,https://www.thehollywoodroosevelt.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_listing
43810,Francie,New York City,"136 Broadway, Brooklyn",ChIJ35V_tZlbwokRzolpCln-mG4,40.7101864,-73.9640186,low,restaurant,http://www.franciebrooklyn.com
72259,Z & Y Peking Duck,San Francisco Bay Area,"606 Jackson St, San Francisco, CA 94133",ChIJP9HbwPSAhYAR2jzkKhT18MY,37.7963524,-122.4054916,null,chinese_restaurant,https://zandypekingduck.com
56643,Ilis,New York City,"150 Green St, Brooklyn, NY 11222",ChIJHZyajD1ZwokREWLihHYSryQ,40.7334873,-73.9555292,high,restaurant,https://ilisnyc.com
108729,Mélisse Restaurant Cafe,Los Angeles,"1104 Wilshire Blvd, Santa Monica, CA 90401",ChIJ7fOMUsSkwoARIOVuE_23I1Q,34.0245912,-118.4914502,high,new_american_restaurant,http://citrinandmelisse.com
75188,Locust,Nashville,"2305 12th Ave S, Nashville, TN 37204",ChIJZTkU2HdlZIgR_V55oayk0Lw,36.1273778,-86.7893698,high,fine_dining_restaurant,http://locustnashville.com
68225,Bonyeon,Chicago,"651 W Washington Blvd, Chicago, IL 60661",ChIJacBkcpAtDogR2w3CGoT-g0w,41.8827771,-87.6444716,high,steak_house,https://www.bonyeonchicago.com/
43980,Locanda Verde Hudson Yards,New York City,"50 Hudson Yards, New York, NY 10001",ChIJV09-awBZwokROld1G3kx0e4,40.7547224,-74.0005774,high,restaurant,https://www.locandaverdenyc.com
70758,Canoe,Atlanta,"4199 Paces Ferry Rd SE, Atlanta, GA 30339",ChIJJbthuA0Q9YgRLIGtr6ZLaOU,33.8597400,-84.4551730,medium,new_american_restaurant,http://www.canoeatl.com/
75404,Bardot Brasserie,Las Vegas,"ARIA Resort & Casino, 3730 S Las Vegas Blvd, Las Vegas, NV 89109, United States",ChIJ4Udn1TPEyIARwZHV7Ok1EOg,36.1075652,-115.1767016,medium,brunch_restaurant,https://aria.mgmresorts.com/en/restaurants/bardot-brasserie.html?ecid=GMB_AR_RE
101075,Seasons,"Washington, DC","2800 Pennsylvania Ave NW, Washington, DC 20007",ChIJNdBhOEu2t4kRHTP0U-g1raw,38.9048185,-77.0572948,high,restaurant,https://www.fourseasons.com/washington/dining/restaurants/seasons/%3Futm_source%3Dgoogle%26utm_medium%3Dorganicsearch%26utm_campaign%3Dtor-was-fab-mid-seo-na%26utm_content%3Dna-na%26utm_term%3Dna
69845,The Village Pub,San Francisco Bay Area,null,ChIJG1kW_BCkj4AR8ZZ326YvxPU,37.4289581,-122.2515746,null,fine_dining_restaurant,http://www.thevillagepub.net
67232,Ciccio Mio,Chicago,"226 W Kinzie St, Chicago, IL 60654",ChIJ3y7Zs1ctDogRSTUTHxxmFHI,41.8892640,-87.6352141,medium,italian_restaurant,https://cicciomio.com
108748,Miura Restaurant,Los Angeles,null,ChIJX30a3DdHNFCdris4FbOZTta,34.0675726,-118.4009507,null,fine_dining_restaurant,http://miura-beverlyhills.com/
68288,Bavel,Los Angeles,"500 Mateo St #102, Los Angeles, CA 90013",ChIJAQDw5jzGwoARJ0ddsqWyCAQ,34.0414870,-118.2329313,high,restaurant,https://baveldtla.com
11967,Golden Diner,New York City,"123 Madison St, New York, NY 10002",ChIJ1-mW-LhbwokR7Ryv5ha-gzc,40.7124400,-73.9940000,null,diner,https://www.goldendinerny.com
33928,Little Goat Diner,Chicago,null,ChIJ-zu2tdosDogRx95ZkNcp7t0,41.8846461,-87.6484127,low,diner,http://littlegoatchicago.com
69701,SOICHI,San Diego,"2121 Adams Ave, San Diego, CA 92116",ChIJfQEdreJV2YARnieTJoa2pGQ,32.7626574,-117.1418019,null,sushi_restaurant,http://www.soichisushi.com
72471,Gary Danko,San Francisco Bay Area,"800 North Point Street, San Francisco",ChIJq342JeGAhYARwdtH9tlX7gg,37.8058651,-122.4206043,high,bar,http://www.garydanko.com
40577,IRIS,New York City,"1740 Broadway, New York, NY 10019",ChIJMccf7SRZwokRyJJEQAXUhqM,40.7652659,-73.9817508,medium,mediterranean_restaurant,https://www.irisrestaurant.nyc
39582,Kono,New York City,"46 Bowery, New York, NY 10013",ChIJ45qzIv9bwokRtdvAuQxHYrQ,40.7156608,-73.9967012,high,japanese_restaurant,http://yakitorikono.com
74659,Girl & the Goat Los Angeles,Los Angeles,null,ChIJXVodUFfHwoARe63Z7LSuUnY,34.0402258,-118.2331693,medium,new_american_restaurant,https://www.girlandthegoat.com/los-angeles
10923,Hirohisa,New York City,"73 Thompson St, New York, NY 10012",ChIJXW6IXYxZwokR-i9saEWMIBY,40.7245970,-74.0031740,null,japanese_restaurant,https://www.hirohisa.nyc
73220,Queen Mother's Kitchen,"Washington, DC","1711 Crystal Dr, Arlington, VA 22202",ChIJsUjSwEa3t4kRl7l1G4zFmBM,38.8584766,-77.0490148,budget,restaurant,http://www.queenmothercooks.com
4183,Estiatorio Milos - Midtown,New York City,"125 W 55th St, New York, NY 10019",ChIJbRaexvlYwokRYc5RgUjlsIY,40.7636800,-73.9792200,high,greek_restaurant,https://www.estiatoriomilos.com/restaurant/new-york-midtown
43844,Wayan,New York City,"20 Spring Street, New York",ChIJm7ryTglZwokRsgnJB6CDMCo,40.7213692,-73.9950855,medium,indonesian_restaurant,http://www.wayan-nyc.com
34596,Chicago Cut Steakhouse,Chicago,"300 N Lasalle, Chicago, IL 60654",ChIJQ8QqIbEsDogReNfi-87G-4A,41.8879719,-87.6333480,null,steak_house,http://www.chicagocutsteakhouse.com
